"member_casual","day_of_week","avg_ride_length"
"casual","Sun",5061.30436414326
"casual","Mon",4752.05043820426
"casual","Tue",4561.80385720148
"casual","Wed",4480.37243172952
"casual","Thu",8451.66685322513
"casual","Fri",6090.73730188444
"casual","Sat",4950.77080086098
"member","Sun",972.938335797465
"member","Mon",822.311201666214
"member","Tue",769.441628768344
"member","Wed",711.983790257748
"member","Thu",707.209274283707
"member","Fri",796.733788899694
"member","Sat",974.072963829465
